OID,FID,COUNT,AREA,MAX
-1,1970,2,0.500000000000000,0.079769134521484
-1,1975,1,0.250000000000000,0.067096710205078
-1,1980,2,0.500000000000000,0.052999973297119
-1,1981,2,0.500000000000000,0.046000003814697
-1,2003,2,0.500000000000000,0.097000002861023
-1,2007,2,0.500000000000000,0.082039713859558
-1,2013,3,0.750000000000000,0.080769181251526
-1,2048,3,0.750000000000000,0.116782665252686
-1,2058,1,0.250000000000000,0.056697607040405
-1,2059,1,0.250000000000000,0.055000066757202
-1,2064,2,0.500000000000000,0.093999981880188
-1,2066,2,0.500000000000000,0.050083279609680
-1,2091,7,1.750000000000000,0.253083348274231
-1,2092,7,1.750000000000000,0.143083333969116
-1,2101,7,1.750000000000000,0.087083339691162
-1,2115,1,0.250000000000000,0.048678636550903
-1,2122,3,0.750000000000000,0.052999973297119
-1,2123,3,0.750000000000000,0.064999938011169
-1,2154,1,0.250000000000000,0.046026706695557
-1,2155,1,0.250000000000000,0.060026645660400
-1,2159,7,1.750000000000000,0.106483973562717
-1,2161,1,0.250000000000000,0.116999983787537
-1,2168,2,0.500000000000000,0.051999926567078
-1,2169,1,0.250000000000000,0.044999957084656
-1,2176,1,0.250000000000000,0.054000020027161
-1,2193,7,1.750000000000000,0.105083346366882
-1,2201,4,1.000000000000000,0.088999986648560
-1,2219,1,0.250000000000000,0.040769219398499
-1,2251,1,0.250000000000000,0.050000071525574
-1,2271,1,0.250000000000000,0.067678570747375
-1,2280,3,0.750000000000000,0.054678678512573
-1,2281,1,0.250000000000000,0.041000008583069
-1,2298,1,0.250000000000000,0.050000071525574
-1,2299,11,2.750000000000000,0.058543987572193
-1,2318,2,0.500000000000000,0.062678575515747
-1,2329,2,0.500000000000000,0.157999992370605
-1,2330,1,0.250000000000000,0.052792549133301
-1,2335,1,0.250000000000000,0.057440042495728
-1,2341,12,3.000000000000000,0.104169487953186
-1,2342,46,11.500000000000000,0.118169546127319
-1,2345,1,0.250000000000000,0.041245341300964
-1,2364,1,0.250000000000000,0.042906284332275
-1,2370,1,0.250000000000000,0.057640433311462
-1,2391,1,0.250000000000000,0.048403859138489
-1,2408,1,0.250000000000000,0.072767376899719
-1,2426,2,0.500000000000000,0.082249999046326
-1,2430,9,2.250000000000000,0.103999972343445
-1,2431,2,0.500000000000000,0.057590126991272
-1,2432,3,0.750000000000000,0.116516113281250
-1,2452,6,1.500000000000000,0.108000040054321
-1,2460,3,0.750000000000000,0.069083333015442
-1,2479,1,0.250000000000000,0.097000002861023
-1,2492,11,2.750000000000000,0.109907388687134
-1,2505,2,0.500000000000000,0.042693495750427
-1,2506,9,2.250000000000000,0.083999991416931
-1,2519,5,1.250000000000000,0.052852511405945
