FID,COUNT,AREA,MAX
1333,7,1.750000000000000,1.666999459266663
1334,4,1.000000000000000,1.669712901115417
1350,1,0.250000000000000,1.647434353828430
1363,2,0.500000000000000,1.636000037193298
1393,5,1.250000000000000,1.531000018119812
1415,4,1.000000000000000,1.639010787010193
1419,1,0.250000000000000,1.975999951362610
1444,7,1.750000000000000,1.531000018119812
1470,2,0.500000000000000,1.565574049949646
1484,5,1.250000000000000,1.655406832695007
1531,13,3.250000000000000,1.629006862640381
1579,1,0.250000000000000,1.743000030517578
1580,2,0.500000000000000,1.596924543380737
1591,2,0.500000000000000,1.484689831733704
1603,1,0.250000000000000,1.567999958992004
1615,1,0.250000000000000,1.662999987602234
1637,1,0.250000000000000,1.945000052452087
1661,2,0.500000000000000,1.827000021934509
1663,2,0.500000000000000,1.643181324005127
1679,1,0.250000000000000,1.641000032424927
1692,7,1.750000000000000,1.646479129791260
1693,1,0.250000000000000,1.506000041961670
1704,4,1.000000000000000,1.543699145317078
1729,4,1.000000000000000,1.701656103134155
1740,4,1.000000000000000,1.560702323913574
1742,2,0.500000000000000,1.830000042915344
1764,2,0.500000000000000,1.483000040054321
1770,2,0.500000000000000,1.688678622245789
1786,4,1.000000000000000,1.590000033378601
1796,1,0.250000000000000,1.695999979972839
1801,2,0.500000000000000,1.733999967575073
1854,28,7.000000000000000,1.663312911987305
1875,1,0.250000000000000,1.610999941825867
1890,2,0.500000000000000,1.610999941825867
1915,2,0.500000000000000,1.656910657882690
1916,5,1.250000000000000,1.688678622245789
1927,2,0.500000000000000,1.861999988555908
1938,2,0.500000000000000,1.519833326339722
1939,4,1.000000000000000,1.519833326339722
1948,2,0.500000000000000,1.723999977111816
1962,2,0.500000000000000,1.740000009536743
1963,1,0.250000000000000,1.672999978065491
1969,3,0.750000000000000,1.547769188880920
1970,2,0.500000000000000,1.547769188880920
1975,1,0.250000000000000,1.832999944686890
1980,2,0.500000000000000,1.605999946594238
1981,2,0.500000000000000,1.605999946594238
2003,2,0.500000000000000,1.671000003814697
2007,2,0.500000000000000,1.860611081123352
2013,3,0.750000000000000,1.547769188880920
2048,3,0.750000000000000,1.590000033378601
2058,1,0.250000000000000,1.720697641372681
2059,1,0.250000000000000,1.751000046730042
2064,2,0.500000000000000,1.879999995231628
2066,2,0.500000000000000,1.594083309173584
2091,7,1.750000000000000,1.527277588844299
2092,7,1.750000000000000,1.594083309173584
2101,7,1.750000000000000,1.594083309173584
2115,1,0.250000000000000,1.688678622245789
2122,3,0.750000000000000,1.605999946594238
2123,3,0.750000000000000,1.605999946594238
2154,1,0.250000000000000,1.635026693344116
2155,1,0.250000000000000,1.635026693344116
2159,7,1.750000000000000,1.463188648223877
2161,1,0.250000000000000,1.590000033378601
2168,2,0.500000000000000,1.723999977111816
2169,1,0.250000000000000,1.723999977111816
2176,1,0.250000000000000,1.649999976158142
2193,7,1.750000000000000,1.542206287384033
2201,4,1.000000000000000,1.990000009536743
2219,1,0.250000000000000,1.547769188880920
2251,1,0.250000000000000,1.725000023841858
2271,1,0.250000000000000,1.688678622245789
2280,3,0.750000000000000,1.688678622245789
2281,1,0.250000000000000,1.687559723854065
2298,1,0.250000000000000,1.501000046730042
2299,11,2.750000000000000,1.599978327751160
2318,2,0.500000000000000,1.688678622245789
2329,2,0.500000000000000,1.996999979019165
2330,1,0.250000000000000,1.991000056266785
2335,1,0.250000000000000,1.574440002441406
2341,12,3.000000000000000,1.641999959945679
2342,46,11.500000000000000,1.577169537544250
2345,1,0.250000000000000,1.705000042915344
2364,1,0.250000000000000,1.583999991416931
2370,1,0.250000000000000,1.638640403747559
2391,1,0.250000000000000,1.797999978065491
